動詞,自立,*,*,五段・サ行,未然形,滅ぼす,ホロボサ,ホロボサ	殺さ
動詞,非自立,*,*,五段・ラ行特殊,連用形,下さる,クダサイ,クダサイ	ください
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,出会う,デアッ,デアッ	会っ
名詞,一般,*,*,*,*,合間,アイマ,アイマ	間
名詞,サ変接続,*,*,*,*,予期,ヨキ,ヨキ	予想
名詞,一般,*,*,*,*,気候,キコウ,キコー	天気
名詞,非自立,助動詞語幹,*,*,*,様,ヨウ,ヨー	よう
動詞,非自立,*,*,五段・サ行,連用形,だす,ダシ,ダシ	出し
名詞,一般,*,*,*,*,言論,ゲンロン,ゲンロン	言葉
副詞,一般,*,*,*,*,ひっきりなしに,ヒッキリナシニ,ヒッキリナシニ	ずっと
動詞,自立,*,*,一段,連用形,話しかける,ハナシカケ,ハナシカケ	話し
接続詞,*,*,*,*,*,じゃ,ジャ,ジャ	では
名詞,一般,*,*,*,*,リンゴ,リンゴ,リンゴ	りんご
名詞,一般,*,*,*,*,切符,キップ,キップ	チケット
名詞,一般,*,*,*,*,トラブル,トラブル,トラブル	問題
名詞,サ変接続,*,*,*,*,対処,タイショ,タイショ	対応
名詞,一般,*,*,*,*,コツ,コツ,コツ	方法
動詞,自立,*,*,五段・カ行イ音便,連用形,思い付く,オモイツキ,オモイツキ	考え
動詞,自立,*,*,五段・サ行,連用形,適す,テキシ,テキシ	合っ
名詞,サ変接続,*,*,*,*,没頭,ボットウ,ボットー	集中
名詞,サ変接続,*,*,*,*,討論,トウロン,トーロン	議論
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,話し合う,ハナシアッ,ハナシアッ	話し
名詞,一般,*,*,*,*,ミーティング,ミーティング,ミーティング	会議
名詞,副詞可能,*,*,*,*,とおり,トオリ,トーリ	通り
名詞,一般,*,*,*,*,食卓,ショクタク,ショクタク	食事
動詞,自立,*,*,五段・ラ行,基本形,立ちあがる,タチアガル,タチアガル	立つ
動詞,自立,*,*,五段・ラ行,未然形,関わる,カカワラ,カカワラ	よら
動詞,自立,*,*,一段,連用形,みせる,ミセ,ミセ	見せ
動詞,自立,*,*,五段・ラ行,基本形,飛び上がる,トビアガル,トビアガル	飛ぶ
名詞,一般,*,*,*,*,本屋,ホンヤ,ホンヤ	本の店
動詞,自立,*,*,五段・サ行,未然形,延ばす,ノバサ,ノバサ	し
名詞,一般,*,*,*,*,戸,ト,ト	ドア
名詞,一般,*,*,*,*,メガネ,メガネ,メガネ	眼鏡
動詞,自立,*,*,五段・タ行,基本形,発つ,タツ,タツ	出る
名詞,形容動詞語幹,*,*,*,*,明白,メイハク,メイハク	明らか
名詞,形容動詞語幹,*,*,*,*,幸運,コウウン,コーウン	幸せ
形容詞,自立,*,*,形容詞・イ段,基本形,おいしい,オイシイ,オイシイ	美味しい
形容詞,自立,*,*,形容詞・アウオ段,基本形,あつい,アツイ,アツイ	暑い
名詞,一般,*,*,*,*,びん,ビン,ビン	瓶
動詞,自立,*,*,五段・サ行,基本形,催す,モヨオス,モヨオス	開く
名詞,一般,*,*,*,*,現金,ゲンキン,ゲンキン	お金
動詞,自立,*,*,五段・ラ行,連用タ接続,しゃべる,シャベッ,シャベッ	話し
動詞,自立,*,*,一段,連用形,居合わせる,イアワセ,イアワセ	い
動詞,自立,*,*,五段・ラ行,連用形,眠る,ネムリ,ネムリ	寝
動詞,自立,*,*,一段,未然形,なれる,ナレ,ナレ	なら
名詞,形容動詞語幹,*,*,*,*,あきらか,アキラカ,アキラカ	明らか
名詞,サ変接続,*,*,*,*,警告,ケイコク,ケイコク	注意
名詞,一般,*,*,*,*,報い,ムクイ,ムクイ	結果
動詞,自立,*,*,五段・サ行,連用形,治す,ナオシ,ナオシ	なおし
動詞,自立,*,*,五段・カ行イ音便,未然形,ひく,ヒカ,ヒカ	引か
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,折り合う,オリアッ,オリアッ	いっ
名詞,副詞可能,*,*,*,*,このごろ,コノゴロ,コノゴロ	最近
動詞,自立,*,*,五段・ラ行特殊,基本形,おっしゃる,オッシャル,オッシャル	言う
動詞,自立,*,*,一段,連用形,恐れる,オソレ,オソレ	怖がっ
名詞,一般,*,*,*,*,レジ,レジ,レジ	会計
名詞,形容動詞語幹,*,*,*,*,不可欠,フカケツ,フカケツ	必要
動詞,自立,*,*,カ変・クル,連用形,くる,キ,キ	来
動詞,自立,*,*,五段・サ行,連用形,すごす,スゴシ,スゴシ	過ごし
名詞,一般,*,*,*,*,地点,チテン,チテン	場所
名詞,サ変接続,*,*,*,*,忍耐,ニンタイ,ニンタイ	我慢
名詞,数,*,*,*,*,零,レイ,レイ	０
動詞,自立,*,*,一段,未然形,おくれる,オクレ,オクレ	遅れ
形容詞,自立,*,*,形容詞・イ段,基本形,いそがしい,イソガシイ,イソガシイ	忙しい
名詞,接尾,助数詞,*,*,*,通,ツウ,ツー	枚
動詞,自立,*,*,一段,連用形,詰める,ツメ,ツメ	入れ
名詞,一般,*,*,*,*,ためし,タメシ,タメシ	こと
副詞,一般,*,*,*,*,ほんとに,ホントニ,ホントニ	本当に
動詞,自立,*,*,一段,基本形,みえる,ミエル,ミエル	見える
名詞,副詞可能,*,*,*,*,当時,トウジ,トージ	時
動詞,自立,*,*,一段,連用形,おぼえる,オボエ,オボエ	覚え
動詞,自立,*,*,五段・ラ行,連用タ接続,かわる,カワッ,カワッ	変わっ
副詞,一般,*,*,*,*,ぜんぜん,ゼンゼン,ゼンゼン	全く
名詞,一般,*,*,*,*,企て,クワダテ,クワダテ	計画
動詞,自立,*,*,五段・ワ行促音便,基本形,そろう,ソロウ,ソロウ	集まる
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,たく,タイ,タイ	つけ
名詞,一般,*,*,*,*,取り決め,トリキメ,トリキメ	決定
動詞,自立,*,*,五段・ラ行,命令ｅ,立ち去る,タチサレ,タチサレ	離れろ
名詞,一般,*,*,*,*,電灯,デントウ,デントー	電気
名詞,一般,*,*,*,*,チャンス,チャンス,チャンス	機会
名詞,一般,*,*,*,*,プラン,プラン,プラン	計画
名詞,副詞可能,*,*,*,*,あいだ,アイダ,アイダ	間
名詞,一般,*,*,*,*,過失,カシツ,カシツ	間違い
名詞,一般,*,*,*,*,異存,イゾン,イゾン	反対
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,つらい,ツラク,ツラク	強く
動詞,自立,*,*,五段・ラ行,未然形,分る,ワカラ,ワカラ	分から
名詞,代名詞,一般,*,*,*,どっち,ドッチ,ドッチ	どちら
動詞,自立,*,*,五段・サ行,連用形,考え出す,カンガエダシ,カンガエダシ	考え
名詞,形容動詞語幹,*,*,*,*,純粋,ジュンスイ,ジュンスイ	きれい
名詞,代名詞,一般,*,*,*,彼等,カレラ,カレラ	彼ら
名詞,一般,*,*,*,*,当地,トウチ,トーチ	ここ
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,取り計らう,トリハカラッ,トリハカラッ	し
形容詞,自立,*,*,形容詞・アウオ段,基本形,緩い,ユルイ,ユルイ	大きい
名詞,一般,*,*,*,*,細君,サイクン,サイクン	妻
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,はやい,ハヤク,ハヤク	早く
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,きづく,キヅイ,キズイ	気づい
動詞,自立,*,*,一段,基本形,ほめる,ホメル,ホメル	褒める
動詞,自立,*,*,五段・ラ行,基本形,つづる,ツヅル,ツズル	書く
動詞,自立,*,*,一段,連用形,だれる,ダレ,ダレ	疲れ
動詞,自立,*,*,一段,連用形,話し掛ける,ハナシカケ,ハナシカケ	話し
名詞,一般,*,*,*,*,学識,ガクシキ,ガクシキ	知識
名詞,非自立,副詞可能,*,*,*,以内,イナイ,イナイ	以下
名詞,一般,*,*,*,*,腎臓,ジンゾウ,ジンゾー	臓器
名詞,一般,*,*,*,*,火の手,ヒノテ,ヒノテ	火
副詞,一般,*,*,*,*,おおいに,オオイニ,オーイニ	とても
名詞,一般,*,*,*,*,晩,バン,バン	夜
名詞,一般,*,*,*,*,盛り,モリ,モリ	時
名詞,一般,*,*,*,*,おまわりさん,オマワリサン,オマワリサン	警察官
動詞,自立,*,*,五段・サ行,連用形,見出す,ミイダシ,ミイダシ	見つけ出し
動詞,非自立,*,*,一段,連用形,つづける,ツヅケ,ツズケ	続け
名詞,一般,*,*,*,*,心地,ココチ,ココチ	気
名詞,サ変接続,*,*,*,*,休憩,キュウケイ,キューケイ	休み
名詞,形容動詞語幹,*,*,*,*,遺憾,イカン,イカン	残念
形容詞,自立,*,*,形容詞・アウオ段,ガル接続,おもしろい,オモシロ,オモシロ	面白
名詞,一般,*,*,*,*,安静,アンセイ,アンセイ	静か
形容詞,自立,*,*,形容詞・アウオ段,連用タ接続,上手い,ウマカッ,ウマカッ	うまかっ
名詞,一般,*,*,*,*,近所,キンジョ,キンジョ	近く
動詞,自立,*,*,五段・サ行,連用形,干す,ホシ,ホシ	乾かし
動詞,自立,*,*,一段,連用形,乗り越える,ノリコエ,ノリコエ	超え
名詞,一般,*,*,*,*,振り出し,フリダシ,フリダシ	最初
名詞,副詞可能,*,*,*,*,一月,イチガツ,イチガツ	１月
名詞,一般,*,*,*,*,髪の毛,カミノケ,カミノケ	髪
形容詞,自立,*,*,形容詞・イ段,基本形,うれしい,ウレシイ,ウレシイ	嬉しい
動詞,自立,*,*,五段・サ行,連用形,見下ろす,ミオロシ,ミオロシ	見
動詞,自立,*,*,一段,連用形,割り当てる,ワリアテ,ワリアテ	決め
名詞,代名詞,一般,*,*,*,そちら,ソチラ,ソチラ	そこ
名詞,サ変接続,*,*,*,*,喫煙,キツエン,キツエン	煙草
副詞,一般,*,*,*,*,未だ,イマダ,イマダ	まだ
名詞,サ変接続,*,*,*,*,説教,セッキョウ,セッキョー	注意
動詞,自立,*,*,五段・ラ行,連用形,立ち去る,タチサリ,タチサリ	離れ
名詞,一般,*,*,*,*,皆さん,ミナサン,ミナサン	みんな
動詞,自立,*,*,一段,連用形,持ち合わせる,モチアワセ,モチアワセ	持っ
動詞,自立,*,*,五段・ラ行,連用タ接続,おさまる,オサマッ,オサマッ	止まっ
名詞,一般,*,*,*,*,ふつう,フツウ,フツー	普通
動詞,自立,*,*,一段,未然形,立ち上がれる,タチアガレ,タチアガレ	立て
動詞,自立,*,*,五段・ラ行,基本形,まさる,マサル,マサル	勝つ
名詞,一般,*,*,*,*,カゼ,カゼ,カゼ	風邪
名詞,一般,*,*,*,*,我,ワガ,ワガ	自分
動詞,自立,*,*,五段・サ行,連用形,逃げ出す,ニゲダシ,ニゲダシ	逃げ
名詞,副詞可能,*,*,*,*,みな,ミナ,ミナ	みんな
名詞,一般,*,*,*,*,惑星,ワクセイ,ワクセイ	星
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,似合う,ニアッ,ニアッ	合っ
動詞,自立,*,*,五段・サ行,連用形,よす,ヨシ,ヨシ	やめ
名詞,接尾,助数詞,*,*,*,人前,ニンマエ,ニンマエ	人
名詞,一般,*,*,*,*,愚か者,オロカモノ,オロカモノ	馬鹿
動詞,自立,*,*,五段・サ行,基本形,引き返す,ヒキカエス,ヒキカエス	戻る
動詞,自立,*,*,五段・マ行,連用形,のむ,ノミ,ノミ	飲み
名詞,一般,*,*,*,*,日にち,ヒニチ,ヒニチ	日
名詞,サ変接続,*,*,*,*,アドバイス,アドバイス,アドバイス	助言
動詞,自立,*,*,一段,未然形,成し遂げる,ナシトゲ,ナシトゲ	し
動詞,自立,*,*,一段,未然形,思える,オモエ,オモエ	思わ
副詞,一般,*,*,*,*,はじめて,ハジメテ,ハジメテ	初めて
名詞,一般,*,*,*,*,フットボール,フットボール,フットボール	サッカー
名詞,一般,*,*,*,*,格好,カッコウ,カッコー	見た目
名詞,数,*,*,*,*,１,イチ,イチ	一
動詞,自立,*,*,五段・ワ行促音便,基本形,おもう,オモウ,オモウ	思う
動詞,自立,*,*,一段,連用形,ささげる,ササゲ,ササゲ	かけ
動詞,自立,*,*,一段,連用形,見上げる,ミアゲ,ミアゲ	見
連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ	どんな
動詞,自立,*,*,一段,未然ウ接続,埋め合わせる,ウメアワセヨ,ウメアワセヨ	補お
名詞,一般,*,*,*,*,根本,コンポン,コンポン	元
動詞,自立,*,*,一段,連用形,換える,カエ,カエ	変え
動詞,自立,*,*,一段,連用形,更ける,フケ,フケ	終わり
名詞,一般,*,*,*,*,望み,ノゾミ,ノゾミ	希望
名詞,形容動詞語幹,*,*,*,*,内密,ナイミツ,ナイミツ	秘密
動詞,非自立,*,*,五段・カ行イ音便,基本形,いただく,イタダク,イタダク	頂く
動詞,自立,*,*,五段・カ行イ音便,未然形,向く,ムカ,ムカ	合わ
名詞,形容動詞語幹,*,*,*,*,苦手,ニガテ,ニガテ	嫌
名詞,サ変接続,*,*,*,*,審議,シンギ,シンギ	議論
名詞,一般,*,*,*,*,わり,ワリ,ワリ	割
名詞,一般,*,*,*,*,かなり,カナリ,カナリ	多く
名詞,一般,*,*,*,*,病,ヤマイ,ヤマイ	病気
名詞,一般,*,*,*,*,害,ガイ,ガイ	被害
名詞,サ変接続,*,*,*,*,意思,イシ,イシ	気持ち
動詞,自立,*,*,五段・サ行,連用形,犯す,オカシ,オカシ	し
名詞,一般,*,*,*,*,ことば,コトバ,コトバ	言葉
名詞,一般,*,*,*,*,素質,ソシツ,ソシツ	能力
動詞,自立,*,*,一段,連用形,たすける,タスケ,タスケ	助け
名詞,一般,*,*,*,*,背丈,セタケ,セタケ	背
名詞,一般,*,*,*,*,ニッケル,ニッケル,ニッケル	金属
動詞,自立,*,*,五段・ラ行,基本形,わたる,ワタル,ワタル	渡る
名詞,一般,*,*,*,*,式典,シキテン,シキテン	式
名詞,一般,*,*,*,*,かぎ,カギ,カギ	鍵
動詞,自立,*,*,五段・サ行,基本形,足す,タス,タス	加える
名詞,サ変接続,*,*,*,*,接待,セッタイ,セッタイ	対応
名詞,一般,*,*,*,*,ランプ,ランプ,ランプ	電気
名詞,一般,*,*,*,*,はなし,ハナシ,ハナシ	話
動詞,自立,*,*,五段・ワ行促音便,未然形,養う,ヤシナワ,ヤシナワ	守ら
動詞,自立,*,*,五段・ラ行,連用タ接続,留まる,トマッ,トマッ	止まっ
動詞,自立,*,*,五段・ラ行,連用タ接続,立ち止まる,タチドマッ,タチドマッ	止まっ
名詞,サ変接続,*,*,*,*,賛同,サンドウ,サンドー	賛成
副詞,一般,*,*,*,*,いつのまにか,イツノマニカ,イツノマニカ	いつの間にか
形容詞,自立,*,*,形容詞・イ段,基本形,虚しい,ムナシイ,ムナシイ	悲しい
動詞,自立,*,*,一段,基本形,みつける,ミツケル,ミツケル	見つける
名詞,サ変接続,*,*,*,*,ブレンド,ブレンド,ブレンド	種類
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,解く,トイ,トイ	答え
名詞,副詞可能,*,*,*,*,去年,キョネン,キョネン	昨年
動詞,自立,*,*,一段,連用形,打ちつける,ウチツケ,ウチツケ	当たっ
名詞,サ変接続,*,*,*,*,お手伝い,オテツダイ,オテツダイ	協力
名詞,一般,*,*,*,*,セーター,セーター,セーター	服
名詞,一般,*,*,*,*,尻,シリ,シリ	腰
動詞,自立,*,*,一段,連用形,誉める,ホメ,ホメ	褒め
動詞,自立,*,*,一段,連用形,にる,ニ,ニ	似
形容詞,自立,*,*,形容詞・アウオ段,基本形,たかい,タカイ,タカイ	高い
名詞,一般,*,*,*,*,農場,ノウジョウ,ノージョー	農業
名詞,サ変接続,*,*,*,*,予言,ヨゲン,ヨゲン	予想
動詞,自立,*,*,一段,連用形,そそぎ入れる,ソソギイレ,ソソギイレ	入れ
名詞,副詞可能,*,*,*,*,先日,センジツ,センジツ	昨日
名詞,一般,*,*,*,*,まち,マチ,マチ	町
名詞,一般,*,*,*,*,点数,テンスウ,テンスー	点
名詞,サ変接続,*,*,*,*,真似,マネ,マネ	こと
形容詞,自立,*,*,形容詞・アウオ段,基本形,ものすごい,モノスゴイ,モノスゴイ	すごい
名詞,一般,*,*,*,*,近頃,チカゴロ,チカゴロ	最近
名詞,一般,*,*,*,*,邦貨,ホウカ,ホーカ	お金
動詞,自立,*,*,一段,基本形,やれる,ヤレル,ヤレル	できる
動詞,自立,*,*,五段・ラ行,連用形,はしる,ハシリ,ハシリ	走り
動詞,自立,*,*,一段,連用形,表れる,アラワレ,アラワレ	現れ
副詞,一般,*,*,*,*,とっても,トッテモ,トッテモ	とても
形容詞,自立,*,*,形容詞・アウオ段,基本形,温かい,アタタカイ,アタタカイ	あたたかい
動詞,自立,*,*,五段・タ行,基本形,役立つ,ヤクダツ,ヤクダツ	役に立つ
名詞,一般,*,*,*,*,商用,ショウヨウ,ショーヨー	仕事
動詞,自立,*,*,五段・マ行,未然形,盗む,ヌスマ,ヌスマ	とら
名詞,サ変接続,*,*,*,*,担任,タンニン,タンニン	担当
名詞,サ変接続,*,*,*,*,手助け,テダスケ,テダスケ	協力
動詞,自立,*,*,五段・ラ行,基本形,祈る,イノル,イノル	願う
動詞,自立,*,*,五段・サ行,基本形,延ばす,ノバス,ノバス	やる
名詞,形容動詞語幹,*,*,*,*,奇妙,キミョウ,キミョー	不思議
動詞,自立,*,*,五段・ラ行,基本形,劣る,オトル,オトル	負ける
名詞,形容動詞語幹,*,*,*,*,陽気,ヨウキ,ヨーキ	元気
名詞,一般,*,*,*,*,脇腹,ワキバラ,ワキバラ	腹
名詞,一般,*,*,*,*,樹齢,ジュレイ,ジュレイ	年
名詞,一般,*,*,*,*,ひま,ヒマ,ヒマ	時間
動詞,自立,*,*,五段・サ行,基本形,みなす,ミナス,ミナス	言う
動詞,自立,*,*,五段・ワ行促音便,基本形,つきあう,ツキアウ,ツキアウ	遊ぶ
動詞,自立,*,*,五段・ラ行,連用タ接続,つくる,ツクッ,ツクッ	作っ
名詞,接尾,人名,*,*,*,君,クン,クン	あなた
動詞,自立,*,*,一段,基本形,取り扱える,トリアツカエル,トリアツカエル	取り組む
連体詞,*,*,*,*,*,たいした,タイシタ,タイシタ	大きな
動詞,自立,*,*,一段,連用形,冷める,サメ,サメ	なくなっ
名詞,一般,*,*,*,*,徒歩,トホ,トホ	歩き
動詞,自立,*,*,五段・ラ行,連用タ接続,誤る,アヤマッ,アヤマッ	間違っ
形容詞,自立,*,*,形容詞・イ段,基本形,気難しい,キムズカシイ,キムズカシイ	難しい
名詞,一般,*,*,*,*,回り,マワリ,マワリ	近く
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,上手い,ウマク,ウマク	うまく
動詞,自立,*,*,一段,未然形,現われる,アラワレ,アラワレ	現れ
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,まう,マッ,マッ	待っ
名詞,一般,*,*,*,*,ビジネス,ビジネス,ビジネス	仕事
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,落ち合う,オチアッ,オチアッ	会っ
動詞,自立,*,*,五段・マ行,連用形,すすむ,ススミ,ススミ	進み
名詞,一般,*,*,*,*,医師,イシ,イシ	医者
名詞,サ変接続,*,*,*,*,助力,ジョリョク,ジョリョク	協力
名詞,一般,*,*,*,*,スパナ,スパナ,スパナ	道具
動詞,自立,*,*,五段・マ行,基本形,乗り込む,ノリコム,ノリコム	乗る
名詞,一般,*,*,*,*,リーダー,リーダー,リーダー	代表
名詞,数,*,*,*,*,六,ロク,ロク	６
名詞,一般,*,*,*,*,隅,スミ,スミ	あたり
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,味わう,アジワッ,アジワッ	食べ
動詞,自立,*,*,一段,連用形,受け入れる,ウケイレ,ウケイレ	認め
動詞,自立,*,*,五段・ラ行,連用形,まいる,マイリ,マイリ	行き
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,おもしろい,オモシロク,オモシロク	面白く
名詞,形容動詞語幹,*,*,*,*,深刻,シンコク,シンコク	大変
動詞,自立,*,*,五段・サ行,未然形,切り倒す,キリタオサ,キリタオサ	切ら
名詞,形容動詞語幹,*,*,*,*,じょうぶ,ジョウブ,ジョーブ	健康
副詞,一般,*,*,*,*,とうてい,トウテイ,トーテイ	決して
動詞,自立,*,*,五段・カ行イ音便,未然ウ接続,まく,マコ,マコ	かけよ
名詞,一般,*,*,*,*,タフ,タフ,タフ	丈夫
名詞,一般,*,*,*,*,手伝い,テツダイ,テツダイ	協力
名詞,一般,*,*,*,*,内緒,ナイショ,ナイショ	秘密
副詞,一般,*,*,*,*,ふと,フト,フト	突然
副詞,助詞類接続,*,*,*,*,更に,サラニ,サラニ	もっと
名詞,一般,*,*,*,*,巡査,ジュンサ,ジュンサ	警察
動詞,自立,*,*,五段・ラ行,連用タ接続,障る,サワッ,サワッ	触っ
名詞,代名詞,一般,*,*,*,みな,ミナ,ミナ	みんな
動詞,自立,*,*,一段,連用形,さえる,サエ,サエ	きい
形容詞,自立,*,*,形容詞・イ段,基本形,騒々しい,ソウゾウシイ,ソーゾーシイ	うるさい
名詞,一般,*,*,*,*,かぜ,カゼ,カゼ	風邪
動詞,自立,*,*,五段・ワ行促音便,未然ウ接続,話し合う,ハナシアオ,ハナシアオ	話そ
名詞,一般,*,*,*,*,身体,シンタイ,シンタイ	体
形容詞,自立,*,*,形容詞・イ段,連用テ接続,むずかしい,ムズカシク,ムズカシク	難しく
名詞,一般,*,*,*,*,機構,キコウ,キコー	気分
名詞,サ変接続,*,*,*,*,メモ,メモ,メモ	記録
動詞,自立,*,*,五段・サ行,未然ウ接続,探し出す,サガシダソ,サガシダソ	探そ
名詞,サ変接続,*,*,*,*,紛争,フンソウ,フンソー	戦争
動詞,自立,*,*,五段・サ行,連用形,こぼす,コボシ,コボシ	言っ
形容詞,自立,*,*,形容詞・イ段,ガル接続,ほしい,ホシ,ホシ	欲し
副詞,一般,*,*,*,*,きっかり,キッカリ,キッカリ	ちょうど
動詞,自立,*,*,五段・ラ行,連用タ接続,閉まる,シマッ,シマッ	閉じ
名詞,形容動詞語幹,*,*,*,*,内気,ウチキ,ウチキ	静か
動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ	き
動詞,自立,*,*,五段・ラ行,連用タ接続,寝入る,ネイッ,ネイッ	寝
副詞,一般,*,*,*,*,日増しに,ヒマシニ,ヒマシニ	日に日に
名詞,一般,*,*,*,*,容姿,ヨウシ,ヨーシ	見た目
名詞,一般,*,*,*,*,前方,ゼンポウ,ゼンポー	前
名詞,サ変接続,*,*,*,*,故障,コショウ,コショー	不具合
名詞,一般,*,*,*,*,見かけ,ミカケ,ミカケ	見た目
名詞,サ変接続,*,*,*,*,辛抱,シンボウ,シンボー	我慢
名詞,一般,*,*,*,*,台所,ダイドコロ,ダイドコロ	勝手
動詞,自立,*,*,五段・ラ行,基本形,閉まる,シマル,シマル	閉じる
名詞,一般,*,*,*,*,愛想,アイソ,アイソ	対応
名詞,一般,*,*,*,*,結末,ケツマツ,ケツマツ	最後
名詞,一般,*,*,*,*,才能,サイノウ,サイノー	能力
動詞,自立,*,*,五段・サ行,未然形,みなす,ミナサ,ミナサ	呼ば
名詞,一般,*,*,*,*,学科,ガッカ,ガッカ	勉強
名詞,一般,*,*,*,*,学級,ガッキュウ,ガッキュー	クラス
動詞,自立,*,*,一段,連用形,産まれる,ウマレ,ウマレ	でき
形容詞,自立,*,*,形容詞・イ段,連用テ接続,やかましい,ヤカマシク,ヤカマシク	うるさく
動詞,自立,*,*,五段・サ行,未然形,直す,ナオサ,ナオサ	なおさ
名詞,形容動詞語幹,*,*,*,*,忠実,チュウジツ,チュージツ	正直
名詞,一般,*,*,*,*,教師,キョウシ,キョーシ	先生
名詞,一般,*,*,*,*,えさ,エサ,エサ	食事
名詞,一般,*,*,*,*,極秘,ゴクヒ,ゴクヒ	秘密
名詞,一般,*,*,*,*,かかわり,カカワリ,カカワリ	関係
形容詞,自立,*,*,形容詞・アウオ段,基本形,恐い,コワイ,コワイ	怖い
動詞,自立,*,*,一段,連用形,演じる,エンジ,エンジ	やっ
動詞,自立,*,*,五段・サ行,連用形,取り出す,トリダシ,トリダシ	出し
動詞,自立,*,*,一段,基本形,出会える,デアエル,デアエル	会う
動詞,自立,*,*,一段,未然形,誉める,ホメ,ホメ	褒め
名詞,一般,*,*,*,*,ママ,ママ,ママ	母
名詞,形容動詞語幹,*,*,*,*,流ちょう,リュウチョウ,リューチョー	普通
名詞,一般,*,*,*,*,話題,ワダイ,ワダイ	話
動詞,自立,*,*,一段,未然形,行ける,イケ,イケ	なら
形容詞,自立,*,*,形容詞・イ段,基本形,恐ろしい,オソロシイ,オソロシイ	怖い
形容詞,自立,*,*,形容詞・アウオ段,基本形,だるい,ダルイ,ダルイ	重い
名詞,一般,*,*,*,*,場面,バメン,バメン	状況
動詞,自立,*,*,五段・ラ行,連用タ接続,すわる,スワッ,スワッ	座っ
動詞,自立,*,*,五段・サ行,連用形,渡す,ワタシ,ワタシ	あげ
動詞,自立,*,*,五段・ラ行,基本形,泊まる,トマル,トマル	いる
名詞,一般,*,*,*,*,典型,テンケイ,テンケイ	一般
名詞,一般,*,*,*,*,林檎,リンゴ,リンゴ	りんご
名詞,サ変接続,*,*,*,*,航海,コウカイ,コーカイ	旅行
名詞,一般,*,*,*,*,世の中,ヨノナカ,ヨノナカ	世界
名詞,サ変接続,*,*,*,*,診察,シンサツ,シンサツ	検査
動詞,自立,*,*,五段・ワ行促音便,連用形,誘う,サソイ,サソイ	呼び
名詞,一般,*,*,*,*,テレックス,テレックス,テレックス	電話
名詞,形容動詞語幹,*,*,*,*,無礼,ブレイ,ブレイ	失礼
名詞,一般,*,*,*,*,師,シ,シ	先生
名詞,一般,*,*,*,*,レパートリー,レパートリー,レパートリー	種類
名詞,形容動詞語幹,*,*,*,*,完璧,カンペキ,カンペキ	完全
形容詞,自立,*,*,形容詞・イ段,連用テ接続,おいしい,オイシク,オイシク	美味しく
形容詞,自立,*,*,形容詞・アウオ段,ガル接続,素早い,スバヤ,スバヤ	早
名詞,一般,*,*,*,*,帝王,テイオウ,テイオー	王
動詞,自立,*,*,五段・ワ行促音便,連用タ接続,てつだう,テツダッ,テツダッ	手伝っ
動詞,自立,*,*,五段・サ行,連用形,出くわす,デクワシ,デクワシ	会っ
名詞,サ変接続,*,*,*,*,察知,サッチ,サッチ	予想
名詞,サ変接続,*,*,*,*,侵略,シンリャク,シンリャク	攻撃
名詞,一般,*,*,*,*,叔母,オバ,オバ	おば
動詞,自立,*,*,一段,連用形,おしえる,オシエ,オシエ	教え
動詞,非自立,*,*,五段・サ行,基本形,だす,ダス,ダス	始める
副詞,一般,*,*,*,*,コロコロ,コロコロ,コロコロ	どんどん
名詞,サ変接続,*,*,*,*,看病,カンビョウ,カンビョー	世話
動詞,自立,*,*,一段,未然形,とりかえる,トリカエ,トリカエ	変え
副詞,一般,*,*,*,*,まさしく,マサシク,マサシク	まさに
名詞,一般,*,*,*,*,助け,タスケ,タスケ	協力
名詞,副詞可能,*,*,*,*,こんど,コンド,コンド	今度
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,点く,ツイ,ツイ	つい
名詞,一般,*,*,*,*,タイトル,タイトル,タイトル	名前
名詞,形容動詞語幹,*,*,*,*,健全,ケンゼン,ケンゼン	普通
名詞,数,*,*,*,*,八,ハチ,ハチ	８
名詞,一般,*,*,*,*,つり,ツリ,ツリ	釣り
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,引き裂く,ヒキサイ,ヒキサイ	破っ
形容詞,自立,*,*,形容詞・アウオ段,連用テ接続,旨い,ウマク,ウマク	うまく
副詞,一般,*,*,*,*,しぶしぶ,シブシブ,シブシブ	やっと
動詞,自立,*,*,五段・カ行イ音便,連用タ接続,効く,キイ,キイ	きい
